Time,Joint,ProximitySensor
1702214298541,0.85,1.0
1702214298541,1.51,1.0
1702214298562,0.0,1.0
1702214298562,0.72,1.0
1702214298562,1.56,1.0
1702214298589,0.0,1.0
1702214298589,0.6,1.0
1702214298589,1.57,1.0
1702214298625,0.0,1.0
1702214298625,0.47,1.0
1702214298625,1.57,1.0
1702214298661,0.0,1.0
1702214298661,0.34,1.0
1702214298661,1.57,1.0
1702214298680,0.0,1.0
1702214298680,0.22,1.0
1702214298680,1.57,1.0
1702214298721,0.0,1.0
1702214298721,0.09,1.0
1702214298721,1.57,1.0
1702214298750,0.0,1.0
1702214298750,-0.04,1.0
1702214298750,1.57,1.0
1702214298771,0.0,1.0
1702214298771,-0.29,1.0
1702214298771,1.57,1.0
1702214298798,0.0,1.0
1702214298798,-0.29,1.0
1702214298798,1.57,1.0
1702214298845,0.0,1.0
1702214298845,-0.42,1.0
1702214298845,1.57,1.0
1702214298891,0.0,1.0
1702214298891,-0.55,1.0
1702214298891,1.57,1.0
1702214298937,0.0,1.0
1702214298937,-0.68,1.0
1702214298937,1.57,1.0
1702214298985,0.0,1.0
1702214298985,-0.93,1.0
1702214298985,1.44,1.0
1702214299031,0.0,1.0
1702214299031,-0.93,1.0
1702214299031,1.44,1.0
1702214299078,0.0,1.0
1702214299078,-1.06,1.0
1702214299078,1.3,1.0
1702214299124,0.0,1.0
1702214299124,-1.19,1.0
1702214299124,1.17,1.0
1702214299171,0.0,1.0
1702214299171,-1.32,1.0
1702214299171,1.04,1.0
1702214299218,0.0,1.0
1702214299218,-1.45,1.0
1702214299218,0.91,1.0
1702214299266,0.0,1.0
1702214299266,-1.55,1.0
1702214299266,0.79,1.0
1702214299313,0.0,1.0
1702214299313,-1.57,1.0
1702214299313,0.66,1.0
1702214299359,0.0,1.0
1702214299359,-1.57,1.0
1702214299359,0.53,1.0
1702214299405,0.0,1.0
1702214299405,-1.58,1.0
1702214299405,0.4,1.0
1702214299436,0.0,1.0
1702214299436,-1.58,1.0
1702214299436,0.28,1.0
1702214299483,0.0,1.0
1702214299483,-1.58,1.0
1702214299483,0.15,1.0
1702214299529,0.0,1.0
1702214299529,-1.58,1.0
1702214299529,0.02,1.0
1702214299576,0.0,1.0
1702214299576,-1.58,1.0
1702214299576,-0.23,1.0
1702214299623,0.0,1.0
